group,date,team_a,team_b,neutral
A,2026-06-11,Mexico,South Africa,true
A,2026-06-12,South Korea,Czechia,true
A,2026-06-18,Czechia,South Africa,true
A,2026-06-19,Mexico,South Korea,true
A,2026-06-25,Czechia,Mexico,true
A,2026-06-25,South Africa,South Korea,true
B,2026-06-12,Canada,Bosnia and Herzegovina,true
B,2026-06-13,Qatar,Switzerland,true
B,2026-06-18,Switzerland,Bosnia and Herzegovina,true
B,2026-06-18,Canada,Qatar,true
B,2026-06-24,Switzerland,Canada,true
B,2026-06-24,Bosnia and Herzegovina,Qatar,true
C,2026-06-13,Brazil,Morocco,true
C,2026-06-14,Haiti,Scotland,true
C,2026-06-19,Scotland,Morocco,true
C,2026-06-20,Brazil,Haiti,true
C,2026-06-24,Scotland,Brazil,true
C,2026-06-24,Morocco,Haiti,true
D,2026-06-13,USA,Paraguay,true
D,2026-06-14,Australia,Turkey,true
D,2026-06-19,USA,Australia,true
D,2026-06-20,Turkey,Paraguay,true
D,2026-06-26,Turkey,USA,true
D,2026-06-26,Paraguay,Australia,true
E,2026-06-14,Germany,Curaçao,true
E,2026-06-14,Côte d'Ivoire,Ecuador,true
E,2026-06-20,Germany,Côte d'Ivoire,true
E,2026-06-21,Ecuador,Curaçao,true
E,2026-06-25,Curaçao,Côte d'Ivoire,true
E,2026-06-25,Ecuador,Germany,true
F,2026-06-14,Netherlands,Japan,true
F,2026-06-15,Sweden,Tunisia,true
F,2026-06-20,Netherlands,Sweden,true
F,2026-06-21,Tunisia,Japan,true
F,2026-06-25,Japan,Sweden,true
F,2026-06-25,Tunisia,Netherlands,true
G,2026-06-15,Belgium,Egypt,true
G,2026-06-16,Iran,New Zealand,true
G,2026-06-21,Belgium,Iran,true
G,2026-06-22,New Zealand,Egypt,true
G,2026-06-27,Egypt,Iran,true
G,2026-06-27,New Zealand,Belgium,true
H,2026-06-15,Spain,Cape Verde,true
H,2026-06-15,Saudi Arabia,Uruguay,true
H,2026-06-21,Spain,Saudi Arabia,true
H,2026-06-21,Uruguay,Cape Verde,true
H,2026-06-27,Cape Verde,Saudi Arabia,true
H,2026-06-27,Uruguay,Spain,true
I,2026-06-16,France,Senegal,true
I,2026-06-16,Iraq,Norway,true
I,2026-06-22,France,Iraq,true
I,2026-06-23,Norway,Senegal,true
I,2026-06-26,Norway,France,true
I,2026-06-26,Senegal,Iraq,true
J,2026-06-17,Argentina,Algeria,true
J,2026-06-17,Austria,Jordan,true
J,2026-06-22,Argentina,Austria,true
J,2026-06-23,Jordan,Algeria,true
J,2026-06-28,Algeria,Austria,true
J,2026-06-28,Jordan,Argentina,true
K,2026-06-17,Portugal,Congo DR,true
K,2026-06-18,Uzbekistan,Colombia,true
K,2026-06-23,Portugal,Uzbekistan,true
K,2026-06-24,Colombia,Congo DR,true
K,2026-06-27,Colombia,Portugal,true
K,2026-06-27,Congo DR,Uzbekistan,true
L,2026-06-17,England,Croatia,true
L,2026-06-17,Ghana,Panama,true
L,2026-06-23,England,Ghana,true
L,2026-06-23,Panama,Croatia,true
L,2026-06-27,Panama,England,true
L,2026-06-27,Croatia,Ghana,true
