date,home_team,away_team,home_score,away_score,home_xg,away_xg,neutral,competition
2024-03-21,Argentina,El Salvador,3,0,2.6,0.4,true,Friendly
2024-03-22,Spain,Colombia,0,1,1.1,1.4,true,Friendly
2024-03-23,England,Brazil,0,1,0.9,1.2,false,Friendly
2024-03-23,France,Germany,0,2,1.0,1.6,false,Friendly
2024-03-24,USA,Mexico,2,0,1.8,0.7,true,CONCACAF Nations League
2024-03-26,Spain,Brazil,3,3,2.3,1.9,false,Friendly
2024-03-26,England,Belgium,2,2,1.7,1.6,false,Friendly
2024-03-26,Germany,Netherlands,2,1,1.8,1.3,false,Friendly
2024-06-08,Portugal,Croatia,1,2,1.2,1.5,false,Friendly
2024-06-09,France,Canada,0,0,1.5,0.4,false,Friendly
2024-06-12,USA,Brazil,1,1,0.9,1.8,false,Friendly
2024-06-14,Germany,Scotland,5,1,3.1,0.6,false,Euro
2024-06-15,Spain,Croatia,3,0,2.0,0.7,true,Euro
2024-06-16,Serbia,England,0,1,0.5,1.1,true,Euro
2024-06-17,Austria,France,0,1,0.8,1.4,true,Euro
2024-06-18,Portugal,Czechia,2,1,2.2,0.6,true,Euro
2024-06-20,Spain,Italy,1,0,1.8,0.4,true,Euro
2024-06-21,Netherlands,France,0,0,0.7,0.9,true,Euro
2024-06-22,Turkey,Portugal,0,3,0.8,2.0,true,Euro
2024-06-23,USA,Bolivia,2,0,2.1,0.5,false,Copa America
2024-06-24,Colombia,Paraguay,2,1,1.6,0.8,true,Copa America
2024-06-25,France,Poland,1,1,1.9,1.0,true,Euro
2024-06-25,Netherlands,Austria,2,3,1.5,1.7,true,Euro
2024-06-26,Ukraine,Belgium,0,0,0.8,1.1,true,Euro
2024-06-26,Georgia,Portugal,2,0,1.2,1.4,true,Euro
2024-06-27,Panama,USA,2,1,1.5,1.2,false,Copa America
2024-06-28,Colombia,Costa Rica,3,0,2.4,0.3,true,Copa America
2024-06-29,Argentina,Peru,2,0,1.9,0.4,true,Copa America
2024-07-01,USA,Uruguay,0,1,0.7,1.1,false,Copa America
2024-07-02,Brazil,Colombia,1,1,1.0,1.0,true,Copa America
2024-07-05,Spain,Germany,2,1,1.7,1.4,true,Euro
2024-07-05,Portugal,France,0,0,0.9,1.1,true,Euro
2024-07-06,England,Switzerland,1,1,1.2,1.0,true,Euro
2024-07-06,Netherlands,Turkey,2,1,1.8,0.9,true,Euro
2024-07-06,Colombia,Panama,5,0,3.0,0.4,true,Copa America
2024-07-07,Uruguay,Brazil,0,0,0.8,0.9,true,Copa America
2024-07-09,Spain,France,2,1,1.3,0.9,true,Euro
2024-07-10,Netherlands,England,1,2,1.0,1.3,true,Euro
2024-07-10,Argentina,Canada,2,0,1.8,0.6,true,Copa America
2024-07-11,Uruguay,Colombia,0,1,1.0,0.8,true,Copa America
2024-07-14,Spain,England,2,1,1.5,0.7,true,Euro
2024-07-14,Argentina,Colombia,1,0,1.2,0.7,true,Copa America
2024-09-05,Argentina,Chile,3,0,2.0,0.5,false,World Cup Qualifying
2024-09-06,Brazil,Ecuador,1,0,1.4,0.6,false,World Cup Qualifying
2024-09-06,Uruguay,Paraguay,0,0,1.1,0.6,false,World Cup Qualifying
2024-09-07,Ireland,England,0,2,0.5,1.8,false,Nations League
2024-09-09,France,Belgium,2,0,1.7,0.8,false,Nations League
2024-09-10,Netherlands,Germany,2,2,1.5,1.4,false,Nations League
2024-09-10,Colombia,Argentina,2,1,1.3,1.0,false,World Cup Qualifying
2024-10-10,Venezuela,Argentina,1,1,0.8,1.3,false,World Cup Qualifying
2024-10-10,Chile,Brazil,1,2,0.7,1.5,false,World Cup Qualifying
2024-10-11,Peru,Uruguay,1,0,0.9,0.8,false,World Cup Qualifying
2024-10-11,Bolivia,Colombia,1,0,1.0,0.9,false,World Cup Qualifying
2024-10-12,Spain,Denmark,1,0,1.5,0.5,false,Nations League
2024-10-14,Germany,Netherlands,1,0,1.6,0.9,false,Nations League
2024-10-14,Belgium,France,1,2,1.1,1.4,false,Nations League
2024-10-15,Poland,Croatia,3,3,1.5,1.7,false,Nations League
2024-11-14,Paraguay,Argentina,2,1,1.2,1.1,false,World Cup Qualifying
2024-11-14,Venezuela,Brazil,1,1,0.8,1.5,false,World Cup Qualifying
2024-11-15,Uruguay,Colombia,3,2,1.6,1.2,false,World Cup Qualifying
2024-11-16,Netherlands,Hungary,4,0,2.8,0.4,false,Nations League
2024-11-17,England,Ireland,5,0,3.2,0.3,false,Nations League
2024-11-18,Spain,Switzerland,3,2,2.1,1.0,false,Nations League
2024-11-18,Croatia,Portugal,1,1,1.0,1.2,false,Nations League
2024-11-19,Brazil,Uruguay,1,1,1.4,0.9,false,World Cup Qualifying
2024-11-19,Argentina,Peru,1,0,1.8,0.3,false,World Cup Qualifying
